ID,SessionID,StartTime,EndTime,Duration
PostProcess,,1698100603,1698100658,54351
ProcessKDC,,1698100604,1698100604,0
PostProcessRecord,,1698100604,1698100604,0
SendCombinedDataToProxy,,1698100604,1698100658,54227
PostProcess,,1698100699,1698100751,52070
ProcessKDC,,1698100699,1698100699,1
PostProcessRecord,,1698100699,1698100699,1
SendCombinedDataToProxy,,1698100699,1698100751,51906
CompleteProve,,1698100752,1698100771,18704
CircuitAssign,,1698100752,1698100752,2
ComputeProof,,1698100752,1698100771,18639
NewWitness,,1698100752,1698100752,0
GetCircuit,,1698100752,1698100752,0
CompileCircuit,,1698100752,1698100757,4548
NewProvingKey,,1698100757,1698100769,11915
Prove,,1698100769,1698100771,2174
PostProcess,,1698100773,1698100824,51491
ProcessKDC,,1698100773,1698100773,1
PostProcessRecord,,1698100773,1698100773,1
SendCombinedDataToProxy,,1698100773,1698100824,51254
CompleteProve,,1698100826,1698100845,19506
CircuitAssign,,1698100826,1698100826,1
ComputeProof,,1698100826,1698100845,19309
NewWitness,,1698100826,1698100826,0
GetCircuit,,1698100826,1698100826,0
CompileCircuit,,1698100826,1698100830,4645
NewProvingKey,,1698100830,1698100843,12482
Prove,,1698100843,1698100845,2179
PostProcess,,1698100846,1698100897,50357
ProcessKDC,,1698100847,1698100847,1
PostProcessRecord,,1698100847,1698100847,1
SendCombinedDataToProxy,,1698100847,1698100897,50149
CompleteProve,,1698100899,1698100919,20482
CircuitAssign,,1698100899,1698100899,2
ComputeProof,,1698100899,1698100919,20328
NewWitness,,1698100899,1698100899,0
GetCircuit,,1698100899,1698100899,0
CompileCircuit,,1698100899,1698100903,4793
NewProvingKey,,1698100903,1698100917,13218
Prove,,1698100917,1698100919,2315
PostProcess,,1698100920,1698100974,53641
ProcessKDC,,1698100920,1698100920,1
PostProcessRecord,,1698100920,1698100920,0
SendCombinedDataToProxy,,1698100920,1698100974,53545
CompleteProve,,1698100976,1698100997,20974
CircuitAssign,,1698100976,1698100976,1
ComputeProof,,1698100976,1698100997,20902
NewWitness,,1698100976,1698100976,0
GetCircuit,,1698100976,1698100976,0
CompileCircuit,,1698100976,1698100981,5203
NewProvingKey,,1698100981,1698100994,13271
Prove,,1698100994,1698100997,2422
PostProcess,,1698100998,1698101048,50291
ProcessKDC,,1698100998,1698100998,1
PostProcessRecord,,1698100998,1698100998,1
SendCombinedDataToProxy,,1698100998,1698101048,50199
CompleteProve,,1698101050,1698101069,18468
CircuitAssign,,1698101050,1698101050,1
ComputeProof,,1698101050,1698101069,18414
NewWitness,,1698101050,1698101050,0
GetCircuit,,1698101050,1698101050,0
CompileCircuit,,1698101050,1698101055,4611
NewProvingKey,,1698101055,1698101067,11728
Prove,,1698101067,1698101069,2074
PostProcess,,1698101070,1698101121,50743
ProcessKDC,,1698101070,1698101070,1
PostProcessRecord,,1698101070,1698101070,2
SendCombinedDataToProxy,,1698101070,1698101121,50532
PostProcess,,1698101141,1698101196,55768
ProcessKDC,,1698101141,1698101141,1
PostProcessRecord,,1698101141,1698101141,1
SendCombinedDataToProxy,,1698101141,1698101196,55666
CompleteProve,,1698101198,1698101218,19202
CircuitAssign,,1698101198,1698101198,2
ComputeProof,,1698101198,1698101218,19147
NewWitness,,1698101198,1698101198,0
GetCircuit,,1698101198,1698101198,0
CompileCircuit,,1698101198,1698101203,4941
NewProvingKey,,1698101203,1698101215,11982
Prove,,1698101215,1698101218,2222
PostProcess,,1698101219,1698101271,52353
ProcessKDC,,1698101219,1698101219,1
PostProcessRecord,,1698101219,1698101219,3
SendCombinedDataToProxy,,1698101219,1698101271,52143
CompleteProve,,1698101273,1698101292,19326
CircuitAssign,,1698101273,1698101273,1
ComputeProof,,1698101273,1698101292,19267
NewWitness,,1698101273,1698101273,0
GetCircuit,,1698101273,1698101273,0
CompileCircuit,,1698101273,1698101277,4717
NewProvingKey,,1698101277,1698101290,12386
Prove,,1698101290,1698101292,2163
PostProcess,,1698101293,1698101345,51325
ProcessKDC,,1698101293,1698101293,2
PostProcessRecord,,1698101293,1698101293,1
SendCombinedDataToProxy,,1698101293,1698101345,51140
CompleteProve,,1698101346,1698101366,19536
CircuitAssign,,1698101346,1698101346,2
ComputeProof,,1698101346,1698101366,19377
NewWitness,,1698101346,1698101346,0
GetCircuit,,1698101346,1698101346,0
CompileCircuit,,1698101346,1698101351,4544
NewProvingKey,,1698101351,1698101363,12612
Prove,,1698101363,1698101366,2220
PostProcess,,1698101367,1698101415,48402
ProcessKDC,,1698101367,1698101367,1
PostProcessRecord,,1698101367,1698101367,1
SendCombinedDataToProxy,,1698101367,1698101415,48300
CompleteProve,,1698101418,1698101436,18272
CircuitAssign,,1698101418,1698101418,2
ComputeProof,,1698101418,1698101436,18213
NewWitness,,1698101418,1698101418,0
GetCircuit,,1698101418,1698101418,0
CompileCircuit,,1698101418,1698101422,4486
NewProvingKey,,1698101422,1698101434,11677
Prove,,1698101434,1698101436,2047
PostProcess,,1698101437,1698101482,45497
ProcessKDC,,1698101437,1698101437,1
PostProcessRecord,,1698101437,1698101437,1
SendCombinedDataToProxy,,1698101437,1698101482,45317
CompleteProve,,1698101483,1698101501,18012
CircuitAssign,,1698101483,1698101483,2
ComputeProof,,1698101483,1698101501,17929
NewWitness,,1698101483,1698101483,0
GetCircuit,,1698101483,1698101483,0
CompileCircuit,,1698101483,1698101488,4530
NewProvingKey,,1698101488,1698101499,11432
Prove,,1698101499,1698101501,1963
PostProcess,,1698101503,1698101549,46328
ProcessKDC,,1698101503,1698101503,3
PostProcessRecord,,1698101503,1698101503,1
SendCombinedDataToProxy,,1698101503,1698101549,46077
CompleteProve,,1698101550,1698101568,18207
CircuitAssign,,1698101550,1698101550,0
ComputeProof,,1698101550,1698101568,18143
NewWitness,,1698101550,1698101550,0
GetCircuit,,1698101550,1698101550,0
CompileCircuit,,1698101550,1698101554,4583
NewProvingKey,,1698101554,1698101566,11556
Prove,,1698101566,1698101568,2002
PostProcess,,1698101569,1698101612,43126
ProcessKDC,,1698101569,1698101569,1
PostProcessRecord,,1698101569,1698101569,1
SendCombinedDataToProxy,,1698101569,1698101612,43026
PostProcess,,1698101632,1698101677,45440
ProcessKDC,,1698101632,1698101632,1
PostProcessRecord,,1698101632,1698101632,1
SendCombinedDataToProxy,,1698101632,1698101677,45289
CompleteProve,,1698101678,1698101699,20145
CircuitAssign,,1698101678,1698101678,1
ComputeProof,,1698101678,1698101699,20092
NewWitness,,1698101678,1698101678,0
GetCircuit,,1698101678,1698101678,0
CompileCircuit,,1698101678,1698101683,4936
NewProvingKey,,1698101683,1698101696,12874
Prove,,1698101696,1698101699,2279
PostProcess,,1698101700,1698101742,42413
ProcessKDC,,1698101700,1698101700,1
PostProcessRecord,,1698101700,1698101700,1
SendCombinedDataToProxy,,1698101700,1698101742,42326
CompleteProve,,1698101744,1698101762,18368
CircuitAssign,,1698101744,1698101744,1
ComputeProof,,1698101744,1698101762,18291
NewWitness,,1698101744,1698101744,0
GetCircuit,,1698101744,1698101744,0
