ID,SessionID,StartTime,EndTime,Duration
PostProcess,,1698183106,1698183156,49723
ProcessKDC,,1698183107,1698183107,1
PostProcessRecord,,1698183107,1698183107,0
SendCombinedDataToProxy,,1698183107,1698183156,49611
CompleteProve,,1698183158,1698183177,19046
CircuitAssign,,1698183158,1698183158,1
ComputeProof,,1698183158,1698183177,18915
NewWitness,,1698183158,1698183158,0
GetCircuit,,1698183158,1698183158,0
CompileCircuit,,1698183158,1698183162,4500
NewProvingKey,,1698183162,1698183175,12357
Prove,,1698183175,1698183177,2054
PostProcess,,1698183178,1698183227,49009
ProcessKDC,,1698183178,1698183178,0
PostProcessRecord,,1698183178,1698183178,0
SendCombinedDataToProxy,,1698183178,1698183227,48895
CompleteProve,,1698183228,1698183246,18405
CircuitAssign,,1698183228,1698183228,0
ComputeProof,,1698183228,1698183246,18232
NewWitness,,1698183228,1698183228,0
GetCircuit,,1698183228,1698183228,0
CompileCircuit,,1698183228,1698183232,4271
NewProvingKey,,1698183232,1698183244,11935
Prove,,1698183244,1698183246,2025
PostProcess,,1698183247,1698183298,50753
ProcessKDC,,1698183247,1698183247,1
PostProcessRecord,,1698183247,1698183247,2
SendCombinedDataToProxy,,1698183247,1698183298,50637
CompleteProve,,1698183299,1698183317,18005
CircuitAssign,,1698183299,1698183299,1
ComputeProof,,1698183299,1698183317,17934
NewWitness,,1698183299,1698183299,0
GetCircuit,,1698183299,1698183299,0
CompileCircuit,,1698183299,1698183303,4454
NewProvingKey,,1698183303,1698183315,11504
Prove,,1698183315,1698183317,1973
PostProcess,,1698183318,1698183367,49280
ProcessKDC,,1698183318,1698183318,1
PostProcessRecord,,1698183318,1698183318,0
SendCombinedDataToProxy,,1698183318,1698183367,49190
CompleteProve,,1698183367,1698183385,17651
CircuitAssign,,1698183367,1698183367,0
ComputeProof,,1698183367,1698183385,17598
NewWitness,,1698183367,1698183367,0
GetCircuit,,1698183367,1698183367,0
CompileCircuit,,1698183367,1698183372,4329
NewProvingKey,,1698183372,1698183383,11291
Prove,,1698183383,1698183385,1977
PostProcess,,1698183386,1698183431,44979
ProcessKDC,,1698183386,1698183386,1
PostProcessRecord,,1698183386,1698183386,1
SendCombinedDataToProxy,,1698183386,1698183431,44687
CompleteProve,,1698183432,1698183451,18934
CircuitAssign,,1698183432,1698183432,0
ComputeProof,,1698183432,1698183451,18875
NewWitness,,1698183432,1698183432,0
GetCircuit,,1698183432,1698183432,0
CompileCircuit,,1698183432,1698183436,4308
NewProvingKey,,1698183436,1698183448,12406
Prove,,1698183448,1698183451,2160
PostProcess,,1698183452,1698183496,44101
ProcessKDC,,1698183452,1698183452,0
PostProcessRecord,,1698183452,1698183452,0
SendCombinedDataToProxy,,1698183452,1698183496,44009
CompleteProve,,1698183497,1698183518,21564
CircuitAssign,,1698183497,1698183497,0
ComputeProof,,1698183497,1698183518,21245
NewWitness,,1698183497,1698183497,0
GetCircuit,,1698183497,1698183497,0
CompileCircuit,,1698183497,1698183501,4415
NewProvingKey,,1698183501,1698183516,14530
Prove,,1698183516,1698183518,2297
PostProcess,,1698183520,1698183567,47153
ProcessKDC,,1698183520,1698183520,2
PostProcessRecord,,1698183520,1698183520,2
SendCombinedDataToProxy,,1698183520,1698183567,46949
CompleteProve,,1698183567,1698183586,18343
CircuitAssign,,1698183567,1698183567,0
ComputeProof,,1698183567,1698183586,18247
NewWitness,,1698183567,1698183567,0
GetCircuit,,1698183567,1698183567,0
CompileCircuit,,1698183567,1698183572,4368
NewProvingKey,,1698183572,1698183584,11835
Prove,,1698183584,1698183586,2043
PostProcess,,1698183587,1698183634,47514
ProcessKDC,,1698183587,1698183587,0
PostProcessRecord,,1698183587,1698183587,0
SendCombinedDataToProxy,,1698183587,1698183634,47423
CompleteProve,,1698183635,1698183653,18398
CircuitAssign,,1698183635,1698183635,0
ComputeProof,,1698183635,1698183653,18341
NewWitness,,1698183635,1698183635,0
GetCircuit,,1698183635,1698183635,0
CompileCircuit,,1698183635,1698183639,4353
NewProvingKey,,1698183639,1698183651,12004
Prove,,1698183651,1698183653,1983
PostProcess,,1698183654,1698183705,50587
ProcessKDC,,1698183654,1698183654,1
PostProcessRecord,,1698183654,1698183654,0
SendCombinedDataToProxy,,1698183654,1698183705,50497
CompleteProve,,1698183705,1698183724,18716
CircuitAssign,,1698183705,1698183705,0
ComputeProof,,1698183705,1698183724,18634
NewWitness,,1698183705,1698183705,0
GetCircuit,,1698183705,1698183705,0
CompileCircuit,,1698183705,1698183710,4318
NewProvingKey,,1698183710,1698183722,11957
Prove,,1698183722,1698183724,2358
PostProcess,,1698183725,1698183772,46164
ProcessKDC,,1698183725,1698183725,1
PostProcessRecord,,1698183725,1698183725,0
SendCombinedDataToProxy,,1698183725,1698183772,46060
CompleteProve,,1698183773,1698183791,18181
CircuitAssign,,1698183773,1698183773,2
ComputeProof,,1698183773,1698183791,18125
NewWitness,,1698183773,1698183773,0
GetCircuit,,1698183773,1698183773,0
CompileCircuit,,1698183773,1698183777,4365
NewProvingKey,,1698183777,1698183789,11739
Prove,,1698183789,1698183791,2018
